iter	Passed	Remaining
350	1486	1270
351	1489	1265
352	1493	1260
353	1497	1256
354	1501	1251
355	1505	1247
356	1509	1243
357	1513	1238
358	1516	1233
359	1521	1229
360	1526	1226
361	1530	1221
362	1534	1217
363	1538	1212
364	1541	1207
365	1545	1203
366	1549	1199
367	1553	1194
368	1557	1190
369	1561	1185
370	1565	1181
371	1569	1177
372	1573	1172
373	1577	1168
374	1581	1164
375	1585	1159
376	1588	1154
377	1592	1149
378	1595	1145
379	1599	1140
380	1603	1136
381	1606	1131
382	1610	1126
383	1614	1122
384	1618	1118
385	1622	1113
386	1626	1109
387	1629	1104
388	1633	1100
389	1637	1095
390	1640	1091
391	1644	1086
392	1649	1082
393	1653	1078
394	1658	1074
395	1662	1070
396	1667	1066
397	1671	1062
398	1676	1058
399	1679	1054
400	1684	1049
401	1688	1045
402	1692	1041
403	1696	1036
404	1699	1032
405	1703	1027
406	1707	1023
407	1710	1018
408	1714	1014
409	1718	1009
410	1721	1005
411	1725	1000
412	1730	996
413	1734	992
414	1738	988
415	1741	983
416	1745	979
417	1749	975
418	1753	971
419	1757	966
420	1762	962
421	1766	958
422	1770	954
423	1774	949
424	1778	945
425	1783	941
426	1788	938
427	1791	933
428	1797	929
429	1801	925
430	1805	921
